name,height,lat_dms,lon_dms,color
2025-02-16T16:59:45.000,419490.37616976525,"-1°49'10.583775""","-36°41'43.901140""",red
2025-02-16T16:59:50.000,419518.9846178461,"-2°4'27.414649""","-36°30'57.365109""",red
2025-02-16T16:59:55.000,419548.221178589,"-2°19'44.143760""","-36°20'10.604278""",red
2025-02-16T17:00:00.000,419578.0843144947,"-2°35'0.759368""","-36°9'23.590344""",red
2025-02-16T17:00:05.000,419608.572399754,"-2°50'17.249717""","-35°58'36.294978""",red
2025-02-16T17:00:10.000,419639.683720412,"-3°5'33.603037""","-35°47'48.689820""",red
2025-02-16T17:00:15.000,419671.4164745434,"-3°20'49.807544""","-35°37'0.746479""",red
2025-02-16T17:00:20.000,419703.76877239393,"-3°36'5.851433""","-35°26'12.436526""",red
2025-02-16T17:00:25.000,419736.7386365807,"-3°51'21.722881""","-35°15'23.731495""",red
2025-02-16T17:00:30.000,419770.3240022828,"-4°6'37.410044""","-35°4'34.602879""",red
2025-02-16T17:00:35.000,419804.52271743387,"-4°21'52.901056""","-34°53'45.022124""",red
2025-02-16T17:00:40.000,419839.3325429685,"-4°37'8.184025""","-34°42'54.960628""",red
2025-02-16T17:00:45.000,419874.751153024,"-4°52'23.247035""","-34°32'4.389741""",red
2025-02-16T17:00:50.000,419910.7761351882,"-5°7'38.078142""","-34°21'13.280757""",red
2025-02-16T17:00:55.000,419947.4049907726,"-5°22'52.665374""","-34°10'21.604912""",red
2025-02-16T17:01:00.000,419984.6351350428,"-5°38'6.996727""","-33°59'29.333385""",red
2025-02-16T17:01:05.000,420022.46389751474,"-5°53'21.060167""","-33°48'36.437289""",red
2025-02-16T17:01:10.000,420060.8885222575,"-6°8'34.843623""","-33°37'42.887672""",red
2025-02-16T17:01:15.000,420099.9061681479,"-6°23'48.334994""","-33°26'48.655513""",pink
